时间,事件,用户名,用户组,用户类型,认证方式,IP地址,终端MAC,接入点,接入点分组,接入网络, 虚拟局域网,角色,计算机名,终端类型,网卡厂商
="2019-01-10 11:19:48","接入","B8-41-A4-F1-48-A5","/PSK认证组/","本地用户","WPA-PSK(个人)","-","B8-41-A4-F1-48-A5","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:51","接入","20-AB-37-66-88-19","/PSK认证组/","本地用户","WPA-PSK(个人)","-","20-AB-37-66-88-19","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:58","接入","00-CD-FE-36-41-0B","/PSK认证组/","本地用户","WPA-PSK(个人)","-","00-CD-FE-36-41-0B","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:19:58","接入","48-43-7C-61-7A-F1","/PSK认证组/","本地用户","WPA-PSK(个人)","-","48-43-7C-61-7A-F1","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:20:27","接入","90-F0-52-6E-71-87","/PSK认证组/","本地用户","WPA-PSK(个人)","-","90-F0-52-6E-71-87","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","其他","MEIZU Technology Co., Ltd."
="2019-01-10 11:20:33","接入","48-43-7C-61-7A-F1","/PSK认证组/","本地用户","WPA-PSK(个人)","-","48-43-7C-61-7A-F1","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:20:33","接入","94-E9-6A-47-AF-AF","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.46","94-E9-6A-47-AF-AF","BJAP02","Beijing","Brenntag-Guest","192","默认角色","iPair","苹果移动终端","Apple, Inc."
="2019-01-10 11:20:33","接入","38-53-9C-F1-1D-3C","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.40","38-53-9C-F1-1D-3C","BJAP02","Beijing","Brenntag-Guest","192","默认角色","shubeide-iPhone","苹果移动终端","Apple, Inc."
="2019-01-10 11:20:34","接入","90-F0-52-6E-71-87","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.52","90-F0-52-6E-71-87","BJAP01","Beijing","Brenntag-Guest","192","默认角色","MEIZU-15-Plus","安卓移动终端","MEIZU Technology Co., Ltd."
="2019-01-10 11:20:37","接入","BC-9F-EF-D4-76-59","/PSK认证组/","本地用户","WPA-PSK(个人)","-","BC-9F-EF-D4-76-59","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:20:38","接入","20-AB-37-66-88-19","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.38","20-AB-37-66-88-19","BJAP02","Beijing","Brenntag-Guest","192","默认角色","chenxueeiPhone2","苹果移动终端","Apple, Inc."
="2019-01-10 11:20:40","接入","B8-C1-11-08-32-BC","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.51","B8-C1-11-08-32-BC","BJAP02","Beijing","Brenntag-Guest","192","默认角色","Daniels-iphone","苹果移动终端","Apple, Inc."
="2019-01-10 11:20:42","接入","38-53-9C-F1-1D-3C","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.40","38-53-9C-F1-1D-3C","BJAP01","Beijing","Brenntag-Guest","192","默认角色","shubeide-iPhone","苹果移动终端","Apple, Inc."
="2019-01-10 11:20:44","接入","B8-41-A4-F1-48-A5","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.35","B8-41-A4-F1-48-A5","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:20:47","接入","20-AB-37-66-88-19","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.38","20-AB-37-66-88-19","BJAP01","Beijing","Brenntag-Guest","192","默认角色","chenxueeiPhone2","苹果移动终端","Apple, Inc."
="2019-01-10 11:20:48","接入","48-43-7C-61-7A-F1","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.34","48-43-7C-61-7A-F1","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:20:52","接入","38-37-8B-49-B8-63","/PSK认证组/","本地用户","WPA-PSK(个人)","-","38-37-8B-49-B8-63","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","安卓移动终端","HUAWEI TECHNOLOGIES CO.,LTD"
="2019-01-10 11:21:07","接入","B8-41-A4-F1-48-A5","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.35","B8-41-A4-F1-48-A5","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:21:10","接入","BC-9F-EF-D4-76-59","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.39","BC-9F-EF-D4-76-59","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:21:22","接入","20-AB-37-66-88-19","/PSK认证组/","本地用户","WPA-PSK(个人)","-","20-AB-37-66-88-19","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:21:29","接入","94-E9-6A-47-AF-AF","/PSK认证组/","本地用户","WPA-PSK(个人)","-","94-E9-6A-47-AF-AF","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:21:37","接入","38-37-8B-49-B8-63","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.37","38-37-8B-49-B8-63","BJAP01","Beijing","Brenntag-Guest","192","默认角色","HUAWEI_Mate_10_","安卓移动终端","HUAWEI TECHNOLOGIES CO.,LTD"
="2019-01-10 11:21:40","接入","B8-41-A4-F1-48-A5","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.35","B8-41-A4-F1-48-A5","BJAP01","Beijing","Brenntag-Guest","192","默认角色","CookietkiiPhone","苹果移动终端","Apple, Inc."
="2019-01-10 11:22:53","接入","14-BD-61-D5-AC-F5","/PSK认证组/","本地用户","WPA-PSK(个人)","-","14-BD-61-D5-AC-F5","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","其他","Apple, Inc."
="2019-01-10 11:22:53","接入","38-53-9C-F1-1D-3C","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.40","38-53-9C-F1-1D-3C","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:22:54","接入","00-CD-FE-36-41-0B","/PSK认证组/","本地用户","WPA-PSK(个人)","-","00-CD-FE-36-41-0B","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","其他","Apple, Inc."
="2019-01-10 11:22:55","接入","BC-9F-EF-D4-76-59","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.39","BC-9F-EF-D4-76-59","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:22:55","接入","20-AB-37-66-88-19","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.38","20-AB-37-66-88-19","BJAP01","Beijing","Brenntag-Guest","192","默认角色","chenxueeiPhone2","苹果移动终端","Apple, Inc."
="2019-01-10 11:22:55","接入","B8-41-A4-F1-48-A5","/PSK认证组/","本地用户","WPA-PSK(个人)","-","B8-41-A4-F1-48-A5","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:22:56","接入","94-65-9C-A2-1C-A5","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","94-65-9C-A2-1C-A5","BJAP01","Beijing","Brenntag-User","1","默认角色","-","Windows PC","Intel Corporate"
="2019-01-10 11:22:57","接入","3C-6A-A7-72-CD-B5","/PSK认证组/","本地用户","WPA-PSK(个人)","-","3C-6A-A7-72-CD-B5","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","其他","Intel Corporate"
="2019-01-10 11:22:57","接入","14-BD-61-D5-AC-F5","/PSK认证组/","本地用户","WPA-PSK(个人)","-","14-BD-61-D5-AC-F5","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:22:57","接入","38-53-9C-F1-1D-3C","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.40","38-53-9C-F1-1D-3C","BJAP03","Beijing","Brenntag-Guest","192","默认角色","shubeide-iPhone","苹果移动终端","Apple, Inc."
="2019-01-10 11:22:57","接入","B8-C1-11-08-32-BC","/PSK认证组/","本地用户","WPA-PSK(个人)","-","B8-C1-11-08-32-BC","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","其他","Apple, Inc."
="2019-01-10 11:22:57","接入","00-CD-FE-36-41-0B","/PSK认证组/","本地用户","WPA-PSK(个人)","-","00-CD-FE-36-41-0B","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:22:58","接入","34-23-87-3A-76-75","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","34-23-87-3A-76-75","BJAP03","Beijing","Brenntag-User","1","默认角色","-","Windows PC","Hon Hai Precision Ind. Co.,Ltd."
="2019-01-10 11:22:58","接入","B8-41-A4-F1-48-A5","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.35","B8-41-A4-F1-48-A5","BJAP03","Beijing","Brenntag-Guest","192","默认角色","CookietkiiPhone","苹果移动终端","Apple, Inc."
="2019-01-10 11:22:59","接入","AC-29-3A-C4-F8-29","/PSK认证组/","本地用户","WPA-PSK(个人)","-","AC-29-3A-C4-F8-29","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","其他","Apple, Inc."
="2019-01-10 11:22:59","接入","38-37-8B-49-B8-63","/PSK认证组/","本地用户","WPA-PSK(个人)","192.168.0.37","38-37-8B-49-B8-63","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","安卓移动终端","HUAWEI TECHNOLOGIES CO.,LTD"
="2019-01-10 11:22:59","接入","94-E9-6A-47-AF-AF","/PSK认证组/","本地用户","WPA-PSK(个人)","-","94-E9-6A-47-AF-AF","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-10 11:22:59","接入","90-2B-D2-E8-27-63","/PSK认证组/","本地用户","WPA-PSK(个人)","-","90-2B-D2-E8-27-63","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","其他","HUAWEI TECHNOLOGIES CO.,LTD"
