时间,事件,用户名,用户组,用户类型,认证方式,IP地址,终端MAC,接入点,接入点分组,接入网络, 虚拟局域网,角色,计算机名,终端类型,网卡厂商
="2019-01-14 10:34:12","退出","C4-9D-ED-0E-4A-CD","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.118","C4-9D-ED-0E-4A-CD","BJAP02","Beijing","Brenntag-Guest","192","默认角色","DESKTOP-C2U73K1","Windows PC","Microsoft Corporation"
="2019-01-14 10:34:23","退出","00-CD-FE-44-0B-F4","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.114","00-CD-FE-44-0B-F4","BJAP01","Beijing","Brenntag-Guest","192","默认角色","Eds-iPhone","苹果移动终端","Apple, Inc."
="2019-01-14 10:37:16","退出","C4-9D-ED-0E-4A-CD","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.118","C4-9D-ED-0E-4A-CD","BJAP01","Beijing","Brenntag-Guest","192","默认角色","DESKTOP-C2U73K1","Windows PC","Microsoft Corporation"
="2019-01-14 10:38:52","退出","B8-C1-11-08-32-BC","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.120","B8-C1-11-08-32-BC","BJAP01","Beijing","Brenntag-Guest","192","默认角色","Daniels-iphone","苹果移动终端","Apple, Inc."
="2019-01-14 10:41:16","退出","5C-09-47-30-AB-AE","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.125","5C-09-47-30-AB-AE","BJAP01","Beijing","Brenntag-Guest","192","默认角色","yinantekiiPhone","苹果移动终端","Apple, Inc."
="2019-01-14 10:41:44","退出","BC-9F-EF-D4-76-59","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.106","BC-9F-EF-D4-76-59","BJAP03","Beijing","Brenntag-Guest","192","默认角色","liminghdeiPhone","苹果移动终端","Apple, Inc."
="2019-01-14 10:46:34","退出","BC-9F-EF-D4-76-59","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.106","BC-9F-EF-D4-76-59","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-14 10:46:40","退出","BC-9F-EF-D4-76-59","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","BC-9F-EF-D4-76-59","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-01-14 10:49:04","退出","04-B1-67-67-04-E6","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.116","04-B1-67-67-04-E6","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","安卓移动终端","Xiaomi Communications Co Ltd"
="2019-01-14 10:57:29","退出","04-B1-67-67-04-E6","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.116","04-B1-67-67-04-E6","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","安卓移动终端","Xiaomi Communications Co Ltd"
